Tag_ID,Tiller_24,attachedInf_24,brokenInf_24,Spikelet_A,Spikelet_B,Spikelet_C,tiller_herb_24,date_24,stroma
562,0,NA,NA,NA,NA,NA,NA,5/6/24,0
563,0,NA,NA,NA,NA,NA,NA,5/6/24,0
564,0,NA,NA,NA,NA,NA,NA,5/6/24,0
565,28,0,9,NA,NA,NA,0,5/6/24,0
566,0,NA,NA,NA,NA,NA,NA,5/6/24,0
567,0,NA,NA,NA,NA,NA,NA,5/6/24,0
568,0,NA,NA,NA,NA,NA,NA,5/6/24,0
569,8,0,3,NA,NA,NA,0,5/6/24,0
570,0,NA,NA,NA,NA,NA,NA,5/6/24,0
571,0,NA,NA,NA,NA,NA,NA,5/6/24,0
572,0,NA,NA,NA,NA,NA,NA,5/6/24,0
573,7,0,4,NA,NA,NA,1,5/6/24,0
574,0,NA,NA,NA,NA,NA,NA,5/6/24,0
575,0,NA,NA,NA,NA,NA,NA,5/6/24,0
576,4,0,4,NA,NA,NA,1,5/6/24,0
577,4,0,3,NA,NA,NA,0,5/6/24,1
578,0,NA,NA,NA,NA,NA,NA,5/6/24,0
579,0,NA,NA,NA,NA,NA,NA,5/6/24,0
580,0,NA,NA,NA,NA,NA,NA,5/6/24,0
581,2,0,0,NA,NA,NA,0,5/6/24,0
582,0,NA,NA,NA,NA,NA,NA,5/6/24,0
583,9,0,0,NA,NA,NA,0,5/6/24,0
584,0,NA,NA,NA,NA,NA,NA,5/6/24,0
585,0,NA,NA,NA,NA,NA,NA,5/6/24,0
586,0,NA,NA,NA,NA,NA,NA,5/6/24,0
587,0,NA,NA,NA,NA,NA,NA,5/6/24,0
588,4,0,0,NA,NA,NA,0,5/6/24,0
589,0,NA,NA,NA,NA,NA,NA,5/6/24,0
590,3,0,1,NA,NA,NA,0,5/6/24,0
591,0,NA,NA,NA,NA,NA,NA,5/6/24,0
701,0,NA,NA,NA,NA,NA,NA,5/6/24,0
702,8,1,6,NA,NA,NA,0,5/6/24,0
703,0,NA,NA,NA,NA,NA,NA,5/6/24,0
704,0,NA,NA,NA,NA,NA,NA,5/6/24,0
705,23,2,14,NA,NA,NA,0,5/6/24,0
706,27,1,26,NA,NA,NA,0,5/6/24,1
707,8,0,1,NA,NA,NA,1,5/6/24,0
708,0,NA,NA,NA,NA,NA,NA,5/6/24,0
709,31,0,24,NA,NA,NA,0,5/6/24,0
710,26,0,22,NA,NA,NA,0,5/6/24,0
711,32,0,19,NA,NA,NA,0,5/6/24,1
712,0,NA,NA,NA,NA,NA,NA,5/6/24,0
713,17,0,14,NA,NA,NA,0,5/6/24,0
714,17,1,15,NA,NA,NA,0,5/6/24,0
715,55,0,36,NA,NA,NA,0,5/6/24,1
716,0,NA,NA,NA,NA,NA,NA,5/6/24,0
717,0,NA,NA,NA,NA,NA,NA,5/6/24,0
718,0,NA,NA,NA,NA,NA,NA,5/6/24,0
719,0,NA,NA,NA,NA,NA,NA,5/6/24,0
720,30,4,22,NA,NA,NA,0,5/6/24,0
721,17,0,13,NA,NA,NA,0,5/6/24,0
722,1,1,0,NA,NA,NA,0,5/6/24,0
723,4,0,3,NA,NA,NA,0,5/6/24,0
724,6,1,4,NA,NA,NA,0,5/6/24,0
725,0,NA,NA,NA,NA,NA,NA,5/6/24,0
726,0,NA,NA,NA,NA,NA,NA,5/6/24,0
727,5,0,5,NA,NA,NA,0,5/6/24,0
728,13,2,8,NA,NA,NA,0,5/6/24,0
729,0,NA,NA,NA,NA,NA,NA,5/6/24,0
730,8,0,5,NA,NA,NA,0,5/6/24,0
690,18,1,15,NA,NA,NA,0,5/6/24,0
691,19,0,12,NA,NA,NA,0,5/6/24,0
692,2,0,1,NA,NA,NA,0,5/6/24,0
693,0,NA,NA,NA,NA,NA,NA,5/6/24,0
694,8,0,5,NA,NA,NA,0,5/6/24,0
695,22,2,15,NA,NA,NA,0,5/6/24,0
696,0,NA,NA,NA,NA,NA,NA,5/6/24,0
697,22,2,18,NA,NA,NA,0,5/6/24,0
698,14,2,10,NA,NA,NA,7,5/6/24,0
699,0,NA,NA,NA,NA,NA,NA,5/6/24,0
700,6,2,4,NA,NA,NA,0,5/6/24,0
512,0,NA,NA,NA,NA,NA,NA,5/6/24,0
592,15,3,5,NA,NA,NA,0,5/6/24,0
600,10,0,9,NA,NA,NA,0,5/6/24,0
599,0,NA,NA,NA,NA,NA,NA,5/6/24,0
675,2,0,1,NA,NA,NA,1,5/6/24,0
676,15,1,12,NA,NA,NA,0,5/6/24,0
677,0,NA,NA,NA,NA,NA,NA,5/6/24,0
678,0,NA,NA,NA,NA,NA,NA,5/6/24,0
679,0,NA,NA,NA,NA,NA,NA,5/6/24,0
680,5,1,1,NA,NA,NA,1,5/6/24,0
681,0,NA,NA,NA,NA,NA,NA,5/6/24,0
682,16,1,14,NA,NA,NA,1,5/6/24,0
683,20,0,14,NA,NA,NA,1,5/6/24,0
684,23,1,14,NA,NA,NA,1,5/6/24,0
685,11,1,10,NA,NA,NA,0,5/6/24,0
686,0,NA,NA,NA,NA,NA,NA,5/6/24,0
687,6,1,4,NA,NA,NA,0,5/6/24,0
688,39,0,37,NA,NA,NA,2,5/6/24,0
689,15,1,6,NA,NA,NA,0,5/6/24,0
660,49,0,28,NA,NA,NA,0,5/6/24,0
661,5,0,2,NA,NA,NA,0,5/6/24,0
662,8,0,8,NA,NA,NA,0,5/6/24,0
663,0,NA,NA,NA,NA,NA,NA,5/6/24,0
664,14,1,7,NA,NA,NA,0,5/6/24,0
665,0,NA,NA,NA,NA,NA,NA,5/6/24,0
