trait,species,parameter,label,term_type,median_est,lower_CI,upper_CI,lower_CI95,upper_CI95,prob_gt0,prob_lt0,strong_effect
Survival,A. hyemalis,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,0.1286,-0.4066,0.6552,-0.5307,0.773,0.6552,0.3448,FALSE
Survival,A. hyemalis,bendoherb,Endophyte × Herbivory,Two-way interaction,-0.1099,-0.6521,0.4428,-0.7674,0.5452,0.3717,0.6283,FALSE
Survival,A. hyemalis,bherbclim,Herbivory × Climate,Two-way interaction,-0.0291,-0.6898,0.7068,-0.8285,0.847,0.4697,0.5303,FALSE
Survival,A. hyemalis,bendoclim,Endophyte × Climate,Two-way interaction,0.3025,-0.1146,0.7077,-0.1988,0.7846,0.882,0.118,FALSE
Survival,A. hyemalis,bherb,Herbivory,Main effect,0.3282,-0.4201,1.0403,-0.5756,1.1563,0.7735,0.2265,FALSE
Survival,A. hyemalis,bendo,Endophyte,Main effect,-0.1693,-0.5764,0.224,-0.648,0.3052,0.2367,0.7633,FALSE
Survival,A. hyemalis,bclim,Climate,Main effect,0.403,-0.6495,1.3475,-0.8682,1.5397,0.7368,0.2632,FALSE
Survival,A. hyemalis,b0,Intercept,NA,-1.3761,-2.4021,-0.4688,-2.6305,-0.2763,0.0063,0.9937,TRUE
Survival,E. virginicus,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,0.29,-0.2948,0.9714,-0.4048,1.1133,0.7923,0.2077,FALSE
Survival,E. virginicus,bendoherb,Endophyte × Herbivory,Two-way interaction,-0.0083,-0.5566,0.5614,-0.6911,0.6809,0.4913,0.5087,FALSE
Survival,E. virginicus,bherbclim,Herbivory × Climate,Two-way interaction,0.1536,-0.4813,0.9466,-0.6015,1.0964,0.6458,0.3542,FALSE
Survival,E. virginicus,bendoclim,Endophyte × Climate,Two-way interaction,0.3847,-0.048,0.8587,-0.1346,0.9536,0.9285,0.0715,TRUE
Survival,E. virginicus,bherb,Herbivory,Main effect,0.7824,0.0316,1.6614,-0.0905,1.8304,0.9592,0.0408,TRUE
Survival,E. virginicus,bendo,Endophyte,Main effect,-0.1193,-0.5532,0.309,-0.6273,0.4076,0.3178,0.6822,FALSE
Survival,E. virginicus,bclim,Climate,Main effect,0.5321,-0.4288,1.3723,-0.6139,1.5332,0.8305,0.1695,FALSE
Survival,E. virginicus,b0,Intercept,NA,-0.8517,-1.7393,0.1297,-1.8973,0.333,0.078,0.922,TRUE
Survival,P. autumnalis,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,0.1359,-0.5221,0.7588,-0.6588,0.8922,0.6357,0.3643,FALSE
Survival,P. autumnalis,bendoherb,Endophyte × Herbivory,Two-way interaction,0.0663,-0.5207,0.721,-0.629,0.8737,0.5727,0.4273,FALSE
Survival,P. autumnalis,bherbclim,Herbivory × Climate,Two-way interaction,-0.4031,-1.2834,0.305,-1.4944,0.433,0.183,0.817,FALSE
Survival,P. autumnalis,bendoclim,Endophyte × Climate,Two-way interaction,0.2107,-0.3445,0.6655,-0.4625,0.7555,0.7542,0.2458,FALSE
Survival,P. autumnalis,bherb,Herbivory,Main effect,0.3276,-0.5499,1.0786,-0.7379,1.2102,0.7442,0.2558,FALSE
Survival,P. autumnalis,bendo,Endophyte,Main effect,-0.208,-0.6878,0.2388,-0.7962,0.3203,0.2107,0.7893,FALSE
Survival,P. autumnalis,bclim,Climate,Main effect,1.4755,0.3281,2.8705,0.1335,3.1289,0.9835,0.0165,TRUE
Survival,P. autumnalis,b0,Intercept,NA,-1.2429,-2.2788,-0.2831,-2.5125,-0.0857,0.0187,0.9813,TRUE
Growth,A. hyemalis,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,-0.0579,-0.3453,0.24,-0.3982,0.2956,0.3743,0.6257,FALSE
Growth,A. hyemalis,bendoherb,Endophyte × Herbivory,Two-way interaction,-0.1148,-0.4462,0.1888,-0.5285,0.2388,0.2722,0.7278,FALSE
Growth,A. hyemalis,bherbclim,Herbivory × Climate,Two-way interaction,0.0288,-0.2132,0.2871,-0.2607,0.3412,0.5718,0.4282,FALSE
Growth,A. hyemalis,bendoclim,Endophyte × Climate,Two-way interaction,0.1609,-0.053,0.4131,-0.0974,0.462,0.883,0.117,FALSE
Growth,A. hyemalis,bherb,Herbivory,Main effect,-0.1143,-0.4117,0.1766,-0.4649,0.2231,0.2638,0.7362,FALSE
Growth,A. hyemalis,bendo,Endophyte,Main effect,0.2189,-0.0171,0.4841,-0.0608,0.5428,0.9367,0.0633,TRUE
Growth,A. hyemalis,bclim,Climate,Main effect,0.2056,-0.2331,0.6238,-0.3211,0.7087,0.7855,0.2145,FALSE
Growth,A. hyemalis,b0,Intercept,NA,-1.1822,-1.6267,-0.7294,-1.7126,-0.6435,2.00E-04,0.9998,TRUE
Growth,E. virginicus,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,-0.0934,-0.3611,0.1722,-0.412,0.2289,0.2853,0.7147,FALSE
Growth,E. virginicus,bendoherb,Endophyte × Herbivory,Two-way interaction,-0.0632,-0.3706,0.2325,-0.4266,0.2914,0.3572,0.6428,FALSE
Growth,E. virginicus,bherbclim,Herbivory × Climate,Two-way interaction,0.0592,-0.1718,0.3201,-0.2191,0.3615,0.6613,0.3387,FALSE
Growth,E. virginicus,bendoclim,Endophyte × Climate,Two-way interaction,0.0959,-0.103,0.3033,-0.1419,0.343,0.7902,0.2098,FALSE
Growth,E. virginicus,bherb,Herbivory,Main effect,0.2391,-0.0415,0.5286,-0.0969,0.5957,0.92,0.08,TRUE
Growth,E. virginicus,bendo,Endophyte,Main effect,0.16,-0.0743,0.3979,-0.1301,0.45,0.8727,0.1273,FALSE
Growth,E. virginicus,bclim,Climate,Main effect,0.013,-0.3545,0.3931,-0.4222,0.4587,0.524,0.476,FALSE
Growth,E. virginicus,b0,Intercept,NA,-0.4123,-0.8325,0.0068,-0.9124,0.0861,0.0525,0.9475,TRUE
Growth,P. autumnalis,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,-0.1967,-0.5243,0.0961,-0.5958,0.1459,0.1383,0.8617,FALSE
Growth,P. autumnalis,bendoherb,Endophyte × Herbivory,Two-way interaction,0.0094,-0.2942,0.3877,-0.3505,0.4723,0.5185,0.4815,FALSE
Growth,P. autumnalis,bherbclim,Herbivory × Climate,Two-way interaction,-0.1654,-0.4431,0.0913,-0.5025,0.1308,0.1513,0.8487,FALSE
Growth,P. autumnalis,bendoclim,Endophyte × Climate,Two-way interaction,0.0271,-0.2148,0.2448,-0.2532,0.2863,0.5833,0.4167,FALSE
Growth,P. autumnalis,bherb,Herbivory,Main effect,0.2335,-0.0463,0.5459,-0.0959,0.6063,0.9113,0.0887,TRUE
Growth,P. autumnalis,bendo,Endophyte,Main effect,0.0589,-0.2202,0.3091,-0.2839,0.3498,0.6365,0.3635,FALSE
Growth,P. autumnalis,bclim,Climate,Main effect,1.0002,0.388,1.5428,0.2661,1.6629,0.9968,0.0032,TRUE
Growth,P. autumnalis,b0,Intercept,NA,-1.0346,-1.5677,-0.5268,-1.6806,-0.439,7.00E-04,0.9993,TRUE
Inflorescence,A. hyemalis,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,-0.067,-0.3862,0.274,-0.4545,0.342,0.3738,0.6262,FALSE
Inflorescence,A. hyemalis,bendoherb,Endophyte × Herbivory,Two-way interaction,0.0717,-0.3593,0.4678,-0.4465,0.5522,0.6123,0.3877,FALSE
Inflorescence,A. hyemalis,bherbclim,Herbivory × Climate,Two-way interaction,-0.0799,-0.4608,0.2676,-0.5599,0.3572,0.3542,0.6458,FALSE
Inflorescence,A. hyemalis,bendoclim,Endophyte × Climate,Two-way interaction,0.1924,-0.0525,0.4646,-0.1058,0.5161,0.9022,0.0978,TRUE
Inflorescence,A. hyemalis,bherb,Herbivory,Main effect,0.4705,0.0164,0.891,-0.0876,0.97,0.9563,0.0437,TRUE
Inflorescence,A. hyemalis,bendo,Endophyte,Main effect,-0.0097,-0.3602,0.3182,-0.4237,0.385,0.48,0.52,FALSE
Inflorescence,A. hyemalis,bclim,Climate,Main effect,0.7515,0.113,1.3921,-0.0044,1.509,0.9742,0.0258,TRUE
Inflorescence,A. hyemalis,b0,Intercept,NA,0.1767,-0.5258,0.8915,-0.6379,1.049,0.6567,0.3433,FALSE
Inflorescence,E. virginicus,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,-0.1385,-0.4628,0.1813,-0.5368,0.2424,0.2328,0.7672,FALSE
Inflorescence,E. virginicus,bendoherb,Endophyte × Herbivory,Two-way interaction,0.089,-0.3419,0.5041,-0.4262,0.5742,0.6357,0.3643,FALSE
Inflorescence,E. virginicus,bherbclim,Herbivory × Climate,Two-way interaction,-0.0091,-0.3425,0.3613,-0.4198,0.4412,0.484,0.516,FALSE
Inflorescence,E. virginicus,bendoclim,Endophyte × Climate,Two-way interaction,0.1525,-0.0963,0.3966,-0.146,0.4479,0.8475,0.1525,FALSE
Inflorescence,E. virginicus,bherb,Herbivory,Main effect,0.7458,0.2624,1.3096,0.1876,1.4339,0.9968,0.0032,TRUE
Inflorescence,E. virginicus,bendo,Endophyte,Main effect,-0.0379,-0.3939,0.2837,-0.4633,0.3437,0.4282,0.5718,FALSE
Inflorescence,E. virginicus,bclim,Climate,Main effect,0.3385,-0.2585,0.9623,-0.3803,1.0918,0.8252,0.1748,FALSE
Inflorescence,E. virginicus,b0,Intercept,NA,-0.2389,-0.8643,0.369,-1.02,0.5125,0.2508,0.7492,FALSE
Inflorescence,P. autumnalis,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,-0.1444,-0.4975,0.19,-0.5783,0.2517,0.2388,0.7612,FALSE
Inflorescence,P. autumnalis,bendoherb,Endophyte × Herbivory,Two-way interaction,0.3505,-0.0809,0.8348,-0.1662,0.9326,0.9083,0.0917,TRUE
Inflorescence,P. autumnalis,bherbclim,Herbivory × Climate,Two-way interaction,-0.0645,-0.3403,0.2069,-0.395,0.2678,0.3508,0.6492,FALSE
Inflorescence,P. autumnalis,bendoclim,Endophyte × Climate,Two-way interaction,0.1272,-0.1321,0.3688,-0.1912,0.4121,0.8012,0.1988,FALSE
Inflorescence,P. autumnalis,bherb,Herbivory,Main effect,0.4695,-0.0613,0.9421,-0.1815,1.024,0.9282,0.0718,TRUE
Inflorescence,P. autumnalis,bendo,Endophyte,Main effect,0.1919,-0.1256,0.558,-0.1853,0.6302,0.8332,0.1668,FALSE
Inflorescence,P. autumnalis,bclim,Climate,Main effect,1.6209,0.6478,2.57,0.5104,2.7235,0.9985,0.0015,TRUE
Inflorescence,P. autumnalis,b0,Intercept,NA,-0.8645,-1.9654,0.045,-2.161,0.196,0.057,0.943,TRUE
Spikelet,E. virginicus,bendoherbclim,Endophyte × Herbivory × Climate,Three-way interaction,0.0665,-0.121,0.2588,-0.1547,0.2983,0.7205,0.2795,FALSE
Spikelet,E. virginicus,bendoherb,Endophyte × Herbivory,Two-way interaction,-0.003,-0.2552,0.239,-0.3074,0.2867,0.4915,0.5085,FALSE
