parameter,species,mean_estimate,median_estimate,lower_CI,upper_CI,trait
bendoclim2,AGHY,0.07333783,0.07296642,-0.10787576,0.2547948,flowering
bendoclim2,ELVI,0.0234808,0.02351258,-0.17467965,0.2246905,flowering
bendoclim2,PAOU,-0.07634999,-0.06872757,-0.58383657,0.3852812,flowering
bendoherb,AGHY,-0.15916406,-0.15817715,-0.69130776,0.3548614,flowering
bendoherb,ELVI,-0.20859699,-0.20572099,-0.81064499,0.4002466,flowering
bendoherb,PAOU,0.2613322,0.26012649,-0.18364964,0.7036244,flowering
bherb,AGHY,0.27561297,0.27749864,-0.32154151,0.8593634,flowering
bherb,ELVI,1.21245187,1.20991707,0.44715787,1.9775784,flowering
bherb,PAOU,0.32991513,0.3193041,-0.40871192,1.0978607,flowering
bclim,AGHY,0.456233509,0.469379851,-2.31997775,3.1033699,spikelet
bclim,ELVI,-0.151078356,-0.153723637,-3.18902602,2.9168544,spikelet
bclim2,AGHY,-0.003765625,-0.007083502,-0.21162338,0.2316725,spikelet
bclim2,ELVI,0.062702051,0.062001683,-0.21708726,0.3470609,spikelet
bendo,AGHY,-0.109255135,-0.092253995,-9.65422382,9.1057369,spikelet
bendo,ELVI,0.13179458,0.091269161,-9.34391062,9.5833686,spikelet
bendoclim,AGHY,-0.087855913,-0.091669954,-2.50292075,2.4132207,spikelet
bendoclim,ELVI,-0.14035721,-0.149704661,-2.99691782,2.7160001,spikelet
bendoclim2,AGHY,0.013348298,0.013879637,-0.15176241,0.1759062,spikelet
bendoclim2,ELVI,0.015341573,0.015576531,-0.22523119,0.2566804,spikelet
bendoherb,AGHY,0.014153704,0.015364034,-0.23480898,0.2616876,spikelet
bendoherb,ELVI,0.151353544,0.152588927,-0.05321084,0.3519286,spikelet
bherb,AGHY,0.233274631,0.233994246,-0.0490669,0.5163389,spikelet
bherb,ELVI,0.143748742,0.14488386,-0.11683035,0.4026665,spikelet
