Site,Species,Plot,Position,Tag_ID,Population,GreenhouseID,Clone,Endo,Tiller_24,Flowering ,date_24,Herbivory_treatment
SON,ELVI,6,6,D2_SE6_6,SHS,107-160A-5,NA,0,2,0,3-6-2024,0
SON,ELVI,6,7,D2_SE6_7,PALM,63,AD,0,3,0,3-6-2024,0
SON,ELVI,6,8,D2_SE6_8,JLP,110-52C-1,NA,0,2,0,3-6-2024,0
SON,ELVI,6,9,D2_SE6_9,JLP,110-2A-52,NA,1,7,0,3-6-2024,0
SON,ELVI,6,10,D2_SE6_10,JLP,110-52C-2,NA,0,1,0,3-6-2024,0
SON,ELVI,7,1,D2_SE7_1,PALM,B35-22,NA,1,5,0,3-6-2024,1
SON,ELVI,7,2,3205,JLP,110-2A-49,NA,1,5,0,3-6-2024,1
SON,ELVI,7,3,D2_SE7_3,PALM,102,AC,0,1,0,3-6-2024,1
SON,ELVI,7,4,D2_SE7_4,SHS,107-160A-24,NA,0,4,0,3-6-2024,1
SON,ELVI,7,5,D2_SE7_5,HUNT,F43,AC,1,2,0,3-6-2024,1
SON,ELVI,7,6,D2_SE7_6,PALM,100,AA,0,3,0,3-6-2024,1
SON,ELVI,7,7,D2_SE7_7,PALM,B35-23,NA,1,4,0,3-6-2024,1
SON,ELVI,7,8,D2_SE7_8,SHS,107-160A-9,NA,0,6,0,3-6-2024,1
SON,ELVI,7,9,D2_SE7_9,JLP,110-2A-50,NA,1,3,0,3-6-2024,1
SON,ELVI,7,10,D2_SE7_10,RL5,D34,AB,1,6,0,3-6-2024,1
SON,ELVI,8,1,3214,SHS,107-160A-25,NA,0,4,0,3-6-2024,1
SON,ELVI,8,2,3216,PALM,B35-25,NA,1,6,0,3-6-2024,1
SON,ELVI,8,3,3218,JLP,110-2A-54,NA,1,6,0,3-6-2024,1
SON,ELVI,8,4,3217,SHS,107-160A-20,NA,0,7,0,3-6-2024,1
SON,ELVI,8,5,3219,PALM,103,AA,0,7,0,3-6-2024,1
SON,ELVI,8,6,D2_SE8_6,RL5,C36,AA,0,4,0,3-6-2024,1
SON,ELVI,8,7,D2_SE8_7,SHS,107-160A-26,NA,0,3,0,3-6-2024,1
SON,ELVI,8,8,D2_SE8_8,PALM,63,AH,0,2,0,3-6-2024,1
SON,ELVI,8,9,D2_SE8_9,SHS,107-160A-21,NA,0,5,0,3-6-2024,1
SON,ELVI,8,10,D2_SE8_10,RL5,C36,AB,0,5,0,3-6-2024,1
KER,POAU,1,1,D2_KP1_1,LA2,84-5G-63-1,NA,1,10,0,3-6-2024,0
KER,POAU,1,2,D2_KP1_2,LA2,84-5G-63-7,NA,1,2,0,3-6-2024,0
KER,POAU,1,3,D2_KP1_3,LA1,201-29A,NA,0,4,0,3-6-2024,0
KER,POAU,1,4,D2_KP1_4,LA2,84-5G-63-3,NA,1,3,0,3-6-2024,0
KER,POAU,1,5,3069,LA2,84-5G-63-2,NA,1,4,0,3-6-2024,0
KER,POAU,2,1,3070,LA2,84-11D-2,NA,1,3,0,3-6-2024,1
KER,POAU,2,2,3071,LA2,84-11D-5,NA,1,4,0,3-6-2024,1
KER,POAU,2,3,3072,LA2,84-11D-4,NA,0,3,0,3-6-2024,1
KER,POAU,2,4,3073,LA2,84-11D-1,NA,1,4,0,3-6-2024,1
KER,POAU,2,5,3074,LA2,84-11D-9,NA,0,1,0,3-6-2024,1
KER,POAU,3,1,D2_KP3_1,LA1,201-29B-4,AI,0,6,0,3-6-2024,0
KER,POAU,3,2,D2_KP3_2,LA2,84-5G-63-8,NA,1,5,0,3-6-2024,0
KER,POAU,3,3,D2_KP3_3,LA2,84-5G-63-9,NA,1,3,0,3-6-2024,0
KER,POAU,3,4,D2_KP3_4,LA1,201-29B,BL,0,6,0,3-6-2024,0
KER,POAU,3,5,D2_KP3_5,LA1,201-29B,BI,0,10,0,3-6-2024,0
KER,POAU,4,1,3080,LA1,201-29B-4,AK,0,4,0,3-6-2024,0
KER,POAU,4,2,3081,LA1,201-29B-4,AD,0,2,0,3-6-2024,0
KER,POAU,4,3,3082,LA1,201-29B,BM,0,5,0,3-6-2024,0
KER,POAU,4,4,3083,LA1,201-29B,BE,0,5,0,3-6-2024,0
KER,POAU,4,5,3084,LA2,84-11D-7,NA,1,2,0,3-6-2024,0
KER,POAU,5,1,3075,LA2,84-5G-63-10,NA,1,1,0,3-6-2024,1
KER,POAU,5,2,3076,LA2,84-5G-63-6,NA,1,1,0,3-6-2024,1
KER,POAU,5,3,3077,LA2,84-5G-63-5,NA,1,3,0,3-6-2024,1
KER,POAU,5,4,3078,LA2,84-5G-63-4,NA,1,3,0,3-6-2024,1
KER,POAU,5,5,3079,LA1,201-29B,AS,0,7,0,3-6-2024,1
KER,POAU,6,1,3085,LA1,201-29B-4,AH,0,10,0,3-6-2024,1
KER,POAU,6,2,3086,LA2,84-11D-11,NA,1,2,0,3-6-2024,1
KER,POAU,6,3,3088,LA2,84-11D-10,NA,1,4,0,3-6-2024,1
KER,POAU,6,4,3089,LA1,201-29B-4,AT,0,10,0,3-6-2024,1
KER,POAU,6,5,3087,LA2,84-11D-8,NA,1,3,0,3-6-2024,1
KER,POAU,7,1,3060,LA1,201-29B-4,AR,0,6,0,3-6-2024,0
KER,POAU,7,2,3061,LA2,84-5G-63-11,NA,1,3,0,3-6-2024,0
KER,POAU,7,3,3062,LA1,201-29B,AL,0,5,0,3-6-2024,0
KER,POAU,7,4,3063,LA2,84-5G-63-12,NA,1,4,0,3-6-2024,0
KER,POAU,7,5,D2_KP7_5,LA1,201-29B,AY,0,2,0,3-6-2024,0
KER,POAU,8,1,3064,LA1,201-29B-4,BA,0,9,0,3-6-2024,1
KER,POAU,8,2,3065,LA1,201-29B-4,AL,0,7,0,3-6-2024,1
KER,POAU,8,3,3066,LA1,201-30B-6,NA,1,3,0,3-6-2024,1
KER,POAU,8,4,3067,LA1,201-29B-4,AM,0,4,0,3-6-2024,1
KER,POAU,8,5,3068,LA1,201-29B,BF,0,9,0,3-6-2024,1
KER,ELVI,1,1,D2_KE1_1,PALM,232H,NA,0,1,0,3-7-2024,0
KER,ELVI,1,2,D2_KE1_2,SHS,107-160A-18,NA,0,4,0,3-7-2024,0
KER,ELVI,1,3,3235,PALM,81H,NA,0,1,0,3-7-2024,0
KER,ELVI,1,4,3236,RL5,D59-3,NA,1,3,0,3-7-2024,0
KER,ELVI,1,5,D2_KE1_5,JLP,110-52C-14,NA,0,3,0,3-7-2024,0
KER,ELVI,1,6,D2_KE1_6,HUNT,F32,AA,1,5,0,3-7-2024,0
KER,ELVI,1,7,3237,HUNT,F44,AA,1,6,0,3-7-2024,0
KER,ELVI,1,8,D2_KE1_8,JLP,110-52C-15,NA,0,1,0,3-7-2024,0
KER,ELVI,1,9,D2_KE1_9, PALM,B35-2,NA,1,10,0,3-7-2024,0
KER,ELVI,1,10,3238,RL5,D59-2,NA,1,6,0,3-7-2024,0
KER,ELVI,1,11,D2_KE1_11,PALM,B35-4,NA,1,6,0,3-7-2024,0
KER,ELVI,1,12,D2_KE1_12,RL5,D75,AA,1,7,0,3-7-2024,0
KER,ELVI,1,13,3239,JLP,110-2A-27,NA,1,5,0,3-7-2024,0
KER,ELVI,1,14,D2_KE1_14,JLP,110-2A-26,NA,1,3,0,3-7-2024,0
KER,ELVI,1,15,D2_KE1_15,RL5,C32,AA,0,7,0,3-7-2024,0
KER,ELVI,2,1,D2_KE2_1,JLP,110-52C-11,NA,0,2,0,3-7-2024,0
KER,ELVI,2,2,D2_KE2_2,RL5,C32-AA,AA,0,10,0,3-7-2024,0
KER,ELVI,2,3,D2_KE2_3,PALM,B35-41,NA,1,3,0,3-7-2024,0
KER,ELVI,2,4,D2_KE2_4,PALM,B35-42,NA,1,6,0,3-7-2024,0
KER,ELVI,2,5,D2_KE2_5,PALM,203C,NA,0,1,0,3-7-2024,0
KER,ELVI,2,6,D2_KE2_6,JLP,110-2A-28,NA,1,5,0,3-7-2024,0
KER,ELVI,2,7,D2_KE2_7,SHS,107-160A-14,NA,0,3,0,3-7-2024,0
KER,ELVI,2,8,D2_KE2_8,JLP,110-2A-29,NA,1,3,0,3-7-2024,0
KER,ELVI,2,9,D2_KE2_9,SHS,107-160A-13,NA,0,3,0,3-7-2024,0
KER,ELVI,2,10,D2_KE2_10,JLP,110-52C-10,NA,0,2,0,3-7-2024,0
KER,ELVI,2,11,D2_KE2_11,RL5,C32,AB,0,3,0,3-7-2024,0
KER,ELVI,2,12,D2_KE2_12,HUNT,F44,AB,1,6,0,3-7-2024,0
KER,ELVI,2,13,D2_KE2_13,RL5,D59-5,NA,1,6,0,3-7-2024,0
KER,ELVI,2,14,D2_KE2_14,PALM,1981H,NA,0,2,0,3-7-2024,0
KER,ELVI,2,15,D2_KE2_15,JLP,110-52C-20,NA,0,2,0,3-7-2024,0
KER,ELVI,3,1,D2_KE3_1,RL5,C36,AC,0,3,0,3-7-2024,0
KER,ELVI,3,2,D2_KE3_2,RL5,C65,AA,0,4,0,3-7-2024,0
KER,ELVI,3,3,D2_KE3_3,JLP,110-52C-4,NA,0,1,0,3-7-2024,0
KER,ELVI,3,4,D2_KE3_4,JLP,110-52C-6,NA,0,2,0,3-7-2024,0
KER,ELVI,3,5,D2_KE3_5,SHS,107-160A-3,NA,0,4,0,3-7-2024,0
KER,ELVI,3,6,D2_KE3_6,PALM,263H,NA,0,1,0,3-7-2024,0
KER,ELVI,3,7,D2_KE3_7,RL5,D11,AA,0,7,0,3-7-2024,0
KER,ELVI,3,8,D2_KE3_8,PALM,273C,NA,0,1,0,3-7-2024,0
KER,ELVI,3,9,D2_KE3_9,JLP,110-2A-30,NA,1,4,0,3-7-2024,0
KER,ELVI,3,10,D2_KE3_10,RL5,D75,AB,0,9,0,3-7-2024,0
KER,ELVI,3,11,D2_KE3_11,SHS,107-160A-1,NA,1,3,0,3-7-2024,0
KER,ELVI,3,12,D2_KE3_12,JLP,110-52C-5,AD,0,1,0,3-7-2024,0
